cluster_id,topic_label,top_words,common_journals,size
0,Rough / Rough Set / Rough Sets,"rough, rough set, rough sets, set, sets, decision, set theory, fuzzy","INTERNATIONAL JOURNAL OF APPROXIMATE REASONING, FUNDAMENTA INFORMATICAE, INFORMATION SCIENCES, INTERNATIONAL JOURNAL OF GENERAL SYSTEMS, EXPERT SYSTEMS",64
1,Deep / Neural / Deep Learning,"deep, neural, deep learning, learning, convolutional, convolutional neural, neural networks, neural network","JOURNAL OF MACHINE LEARNING RESEARCH, MEDICAL IMAGE ANALYSIS, COMPUTER METHODS AND PROGRAMS IN BIOMEDICINE, SPEECH COMMUNICATION, COMPUTER SPEECH AND LANGUAGE",66
2,Theory / Methods / Science Theory,"theory, methods, science theory, theory methods, model, systems, algorithm, methods computer","STATISTICS AND COMPUTING, DISTRIBUTED COMPUTING, PERFORMANCE EVALUATION, IEEE TRANSACTIONS ON INFORMATION THEORY, MATHEMATICAL AND COMPUTER MODELLING OF DYNAMICAL SYSTEMS",360
3,Iot / Things / Internet Things,"iot, things, internet things, internet, things iot, devices, security, architecture","COMPUTER, JOURNAL OF NETWORK AND COMPUTER APPLICATIONS, COMPUTER STANDARDS & INTERFACES, IEEE NETWORK, MOBILE NETWORKS & APPLICATIONS",75
4,Sensor / Sensor Networks / Wireless Sensor,"sensor, sensor networks, wireless sensor, wireless, energy, networks, nodes, network","WIRELESS NETWORKS, COMPUTER COMMUNICATIONS, IEEE TRANSACTIONS ON PARALLEL AND DISTRIBUTED SYSTEMS, IEEE-ACM TRANSACTIONS ON NETWORKING, TELECOMMUNICATION SYSTEMS",171
5,Feature / Feature Selection / Selection,"feature, feature selection, selection, classification, features, support vector, vector, svm","INTERNATIONAL JOURNAL OF PATTERN RECOGNITION AND ARTIFICIAL INTELLIGENCE, JOURNAL OF MACHINE LEARNING RESEARCH, ARTIFICIAL INTELLIGENCE REVIEW, JOURNAL OF INTELLIGENT INFORMATION SYSTEMS, NEUROCOMPUTING",92
6,Cloud / Cloud Computing / Computing,"cloud, cloud computing, computing, service, resource, data, resources, services","IEEE TRANSACTIONS ON PARALLEL AND DISTRIBUTED SYSTEMS, JOURNAL OF SUPERCOMPUTING, COMPUTING, JOURNAL OF NETWORK AND COMPUTER APPLICATIONS, JOURNAL OF PARALLEL AND DISTRIBUTED COMPUTING",145
7,Hardware / Architecture Engineering / Science Hardware,"hardware, architecture engineering, science hardware, engineering, architecture, hardware architecture, electrical, engineering electrical","DISPLAYS, INTEGRATION-THE VLSI JOURNAL, MICROPROCESSORS AND MICROSYSTEMS, COMPUTERS & ELECTRICAL ENGINEERING, IEEE TRANSACTIONS ON COMPUTERS",143
8,Perceived / Acceptance / Technology,"perceived, acceptance, technology, technology acceptance, information, model, trust, satisfaction","JOURNAL OF ORGANIZATIONAL COMPUTING AND ELECTRONIC COMMERCE, JOURNAL OF COMPUTER INFORMATION SYSTEMS, ONLINE INFORMATION REVIEW, EUROPEAN JOURNAL OF INFORMATION SYSTEMS, INFORMATION SYSTEMS MANAGEMENT",102
9,Flow / Geology / Geosciences Multidisciplinary,"flow, geology, geosciences multidisciplinary, geosciences, multidisciplinary computer, multidisciplinary, science interdisciplinary, interdisciplinary applications","COMPUTERS AND GEOTECHNICS, COMPUTERS & FLUIDS, COMPUTATIONAL GEOSCIENCES, COMPUTERS & GEOSCIENCES, COMPUTERS AND ELECTRONICS IN AGRICULTURE",178
10,Security / Mathematics / Encryption,"security, mathematics, encryption, secure, key, cryptography, mathematics applied, applied computer","JOURNAL OF CRYPTOLOGY, DESIGNS CODES AND CRYPTOGRAPHY, IEEE TRANSACTIONS ON COMPUTERS, JOURNAL OF THE ACM, SIAM JOURNAL ON COMPUTING",120
11,Language / Languages / Software,"language, languages, software, software engineering, engineering computer, science software, programming, engineering","ACM TRANSACTIONS ON PROGRAMMING LANGUAGES AND SYSTEMS, SOFTWARE-PRACTICE & EXPERIENCE, SCIENCE OF COMPUTER PROGRAMMING, ACM TRANSACTIONS ON SOFTWARE ENGINEERING AND METHODOLOGY, JOURNAL OF VISUAL LANGUAGES AND COMPUTING",158
12,Data / Information / Mining,"data, information, mining, systems, network, science information, information systems, systems computer","ACM SIGCOMM COMPUTER COMMUNICATION REVIEW, DATA MINING AND KNOWLEDGE DISCOVERY, IEEE TRANSACTIONS ON VISUALIZATION AND COMPUTER GRAPHICS, SIGMOD RECORD, ACM TRANSACTIONS ON COMPUTER SYSTEMS",503
13,Problem / Search / Algorithm,"problem, search, algorithm, genetic, optimization, problems, algorithms, routing","INFORMS JOURNAL ON COMPUTING, JOURNAL OF HEURISTICS, NETWORKS, COMPUTERS & OPERATIONS RESEARCH, COMPUTERS & INDUSTRIAL ENGINEERING",241
14,Telecommunications Engineering / Electronic Telecommunications / Telecommunications,"telecommunications engineering, electronic telecommunications, telecommunications, engineering, engineering electrical, electrical electronic, electrical, electronic","JOURNAL OF COMMUNICATIONS TECHNOLOGY AND ELECTRONICS, AEU-INTERNATIONAL JOURNAL OF ELECTRONICS AND COMMUNICATIONS, ETRI JOURNAL, IEEE TRANSACTIONS ON BROADCASTING, IEICE TRANSACTIONS ON COMMUNICATIONS",132
15,Biology Computer / Molecular / Biology,"biology computer, molecular, biology, crystallography, methods biochemistry, crystallography mathematical, applications crystallography, biochemical",JOURNAL OF MOLECULAR GRAPHICS & MODELLING,44
16,Biomedical / Engineering Biomedical / Medical,"biomedical, engineering biomedical, medical, biology, engineering, science interdisciplinary, segmentation, images","COMPUTERS IN BIOLOGY AND MEDICINE, COMPUTER METHODS AND PROGRAMS IN BIOMEDICINE, MEDICAL IMAGE ANALYSIS, AEU-INTERNATIONAL JOURNAL OF ELECTRONICS AND COMMUNICATIONS, ARTIFICIAL INTELLIGENCE REVIEW",122
17,Query / Queries / Data,"query, queries, data, information, database, databases, systems computer, information systems","ACM TRANSACTIONS ON DATABASE SYSTEMS, VLDB JOURNAL, DISTRIBUTED AND PARALLEL DATABASES, ACM TRANSACTIONS ON INFORMATION SYSTEMS, SIGMOD RECORD",142
18,Linguistics / Language / Linguistics Computer,"linguistics, language, linguistics computer, applications linguistics, linguistics language, language linguistics, word, semantic","COMPUTATIONAL LINGUISTICS, JOURNAL OF ARTIFICIAL INTELLIGENCE RESEARCH, COMPUTER SPEECH AND LANGUAGE, DATA & KNOWLEDGE ENGINEERING, ARTIFICIAL INTELLIGENCE REVIEW",78
19,Graph / Graphs / Mathematics,"graph, graphs, mathematics, problem, methods mathematics, algorithms, theory, algorithm","SIAM JOURNAL ON COMPUTING, THEORY OF COMPUTING SYSTEMS, JOURNAL OF THE ACM, DESIGNS CODES AND CRYPTOGRAPHY, JOURNAL OF COMPUTER AND SYSTEM SCIENCES",217
20,Element / Finite / Finite Element,"element, finite, finite element, method, mathematics, isogeometric, equations, element method","CMES-COMPUTER MODELING IN ENGINEERING & SCIENCES, COMPUTER METHODS IN APPLIED MECHANICS AND ENGINEERING, COMPUTERS & STRUCTURES, ENGINEERING WITH COMPUTERS, COMPUTER AIDED GEOMETRIC DESIGN",168
21,Artificial / Intelligence / Artificial Intelligence,"artificial, intelligence, artificial intelligence, intelligence computer, science artificial, fuzzy, theory, robot","MINDS AND MACHINES, JOURNAL OF COMPUTER AND SYSTEMS SCIENCES INTERNATIONAL, ARTIFICIAL LIFE, CONNECTION SCIENCE, JOURNAL OF INTELLIGENT & FUZZY SYSTEMS",395
22,Decision Making / Fuzzy / Decision,"decision making, fuzzy, decision, making, aggregation, operators, linguistic, group decision","INTERNATIONAL JOURNAL OF UNCERTAINTY FUZZINESS AND KNOWLEDGE-BASED SYSTEMS, JOURNAL OF INTELLIGENT & FUZZY SYSTEMS, KNOWLEDGE-BASED SYSTEMS, INFORMATION SCIENCES, COMPUTERS & INDUSTRIAL ENGINEERING",95
23,Social / Social Media / Media,"social, social media, media, information, social networking, sites, networking, online","ONLINE INFORMATION REVIEW, DECISION SUPPORT SYSTEMS, JOURNAL OF ORGANIZATIONAL COMPUTING AND ELECTRONIC COMMERCE, JOURNAL OF COMPUTER INFORMATION SYSTEMS, JOURNAL OF STRATEGIC INFORMATION SYSTEMS",91
24,Recognition / Speech / Human,"recognition, speech, human, speech recognition, features, based, speaker, vision","SPEECH COMMUNICATION, COMPUTER VISION AND IMAGE UNDERSTANDING, COMPUTER SPEECH AND LANGUAGE, IEICE TRANSACTIONS ON INFORMATION AND SYSTEMS, INTERNATIONAL JOURNAL OF PATTERN RECOGNITION AND ARTIFICIAL INTELLIGENCE",161
25,Image / Images / Engineering,"image, images, engineering, video, algorithm, method, based, quality","JOURNAL OF VISUAL COMMUNICATION AND IMAGE REPRESENTATION, ACM TRANSACTIONS ON GRAPHICS, IEEE TRANSACTIONS ON MULTIMEDIA, IEEE TRANSACTIONS ON BROADCASTING, JOURNAL OF MATHEMATICAL IMAGING AND VISION",257
26,Hardware / Architecture / Architecture Computer,"hardware, architecture, architecture computer, hardware architecture, science hardware, software, engineering computer, performance","IEEE MICRO, ACM TRANSACTIONS ON DESIGN AUTOMATION OF ELECTRONIC SYSTEMS, COMPUTER, DESIGN AUTOMATION FOR EMBEDDED SYSTEMS, INTERNATIONAL JOURNAL OF HIGH PERFORMANCE COMPUTING APPLICATIONS",261
27,Environmental / Environmental Sciences / Engineering Environmental,"environmental, environmental sciences, engineering environmental, sciences, sciences ecology, sciences computer, environmental environmental, ecology",ENVIRONMENTAL MODELLING & SOFTWARE,44
28,User / Recommender / Recommendation,"user, recommender, recommendation, science cybernetics, cybernetics, recommender systems, users, cybernetics computer","USER MODELING AND USER-ADAPTED INTERACTION, HUMAN-COMPUTER INTERACTION, INTERACTING WITH COMPUTERS, ACM TRANSACTIONS ON INFORMATION SYSTEMS, JOURNAL OF INTELLIGENT INFORMATION SYSTEMS",154
29,Testing / Test / Software,"testing, test, software, software testing, generation, test cases, test case, software engineering","SOFTWARE TESTING VERIFICATION & RELIABILITY, IEEE TRANSACTIONS ON SOFTWARE ENGINEERING, SOFTWARE QUALITY JOURNAL, INTERNATIONAL JOURNAL OF SOFTWARE ENGINEERING AND KNOWLEDGE ENGINEERING, INFORMATION AND SOFTWARE TECHNOLOGY",95
30,Scheduling / Real Time / Time,"scheduling, real time, time, task, real, tasks, execution, time systems","REAL-TIME SYSTEMS, DESIGN AUTOMATION FOR EMBEDDED SYSTEMS, JOURNAL OF SYSTEMS ARCHITECTURE, ACM TRANSACTIONS ON COMPUTER SYSTEMS, INTERNATIONAL JOURNAL OF PARALLEL PROGRAMMING",131
31,3D / Shape / Surface,"3d, shape, surface, science software, software engineering, mesh, engineering computer, software","GRAPHICAL MODELS, COMPUTER GRAPHICS FORUM, COMPUTERS & GRAPHICS-UK, VISUAL COMPUTER, COMPUTER-AIDED DESIGN",198
32,Logic / Verification / Checking,"logic, verification, checking, model checking, semantics, formal, logics, theory","JOURNAL OF LOGIC AND COMPUTATION, FORMAL METHODS IN SYSTEM DESIGN, JOURNAL OF AUTOMATED REASONING, INFORMATION AND COMPUTATION, ACTA INFORMATICA",218
33,Evolutionary / Optimization / Multiobjective,"evolutionary, optimization, multiobjective, objective, objective optimization, multiobjective optimization, pareto, evolutionary algorithms","IEEE TRANSACTIONS ON EVOLUTIONARY COMPUTATION, EVOLUTIONARY COMPUTATION, COMPUTERS & OPERATIONS RESEARCH, INTEGRATED COMPUTER-AIDED ENGINEERING, ACM COMPUTING SURVEYS",61
34,Music / Music Computer / Applications Music,"music, music computer, applications music, musical, audio, science interdisciplinary, interdisciplinary, interdisciplinary applications","JOURNAL OF NEW MUSIC RESEARCH, JOURNAL OF INTELLIGENT INFORMATION SYSTEMS, CONNECTION SCIENCE, ARTIFICIAL LIFE, IEEE COMMUNICATIONS LETTERS",55
35,Authentication / Password / Scheme,"authentication, password, scheme, attack, authentication scheme, smart, protocol, security","COMPUTER STANDARDS & INTERFACES, COMPUTERS & SECURITY, IEICE TRANSACTIONS ON COMMUNICATIONS, COMPUTERS & ELECTRICAL ENGINEERING, WIRELESS PERSONAL COMMUNICATIONS",34
36,Education / Educational / Science Education,"education, educational, science education, research engineering, education scientific, disciplines engineering, scientific disciplines, applications education","COMPUTER APPLICATIONS IN ENGINEERING EDUCATION, COMPUTERS & EDUCATION",45
37,Mathematics / Science Mathematics / Applied Computer,"mathematics, science mathematics, applied computer, mathematics applied, applied, optimization, engineering operations, convergence","OPTIMIZATION METHODS & SOFTWARE, MATHEMATICAL PROGRAMMING, ACM TRANSACTIONS ON MATHEMATICAL SOFTWARE, JOURNAL OF MATHEMATICAL IMAGING AND VISION, COMPUTER AIDED GEOMETRIC DESIGN",182
38,Ad / Ad Hoc / Hoc,"ad, ad hoc, hoc, hoc networks, networks, routing, wireless, network","COMPUTER COMMUNICATIONS, WIRELESS NETWORKS, MOBILE NETWORKS & APPLICATIONS, IEEE COMMUNICATIONS MAGAZINE, PERFORMANCE EVALUATION",107
39,Business / Information / Systems Information,"business, information, systems information, science library, library science, information science, library, management","JOURNAL OF INFORMATION TECHNOLOGY, JOURNAL OF STRATEGIC INFORMATION SYSTEMS, JOURNAL OF MANAGEMENT INFORMATION SYSTEMS, EUROPEAN JOURNAL OF INFORMATION SYSTEMS, INFORMATION SYSTEMS MANAGEMENT",167
40,Optical / Wavelength / Wdm,"optical, wavelength, wdm, systems optics, optics telecommunications, optics, network, optical networks","PHOTONIC NETWORK COMMUNICATIONS, IEEE NETWORK, IEICE TRANSACTIONS ON COMMUNICATIONS, ETRI JOURNAL, IEEE COMMUNICATIONS MAGAZINE",64
41,Learning / Classification / Machine,"learning, classification, machine, machine learning, classifiers, data, artificial, intelligence","JOURNAL OF MACHINE LEARNING RESEARCH, DATA MINING AND KNOWLEDGE DISCOVERY, ARTIFICIAL INTELLIGENCE REVIEW, JOURNAL OF ARTIFICIAL INTELLIGENCE RESEARCH, JOURNAL OF INTELLIGENT INFORMATION SYSTEMS",184
42,Biology / Microbiology / Applied Microbiology,"biology, microbiology, applied microbiology, methods biotechnology, microbiology mathematical, biology biochemistry, biotechnology applied, biotechnology",BMC BIOINFORMATICS,44
43,Swarm / Optimization / Particle Swarm,"swarm, optimization, particle swarm, particle, swarm optimization, algorithm, pso, search","COMPUTERS & STRUCTURES, ADVANCES IN ENGINEERING SOFTWARE, IEEE TRANSACTIONS ON EVOLUTIONARY COMPUTATION, ARTIFICIAL INTELLIGENCE REVIEW, COMPUTERS & INDUSTRIAL ENGINEERING",108
44,Neural / Neural Networks / Neural Network,"neural, neural networks, neural network, neurosciences, networks, network, artificial, learning","NEURAL COMPUTATION, NEURAL NETWORKS, NEURAL PROCESSING LETTERS, NEUROCOMPUTING, CONNECTION SCIENCE",193
45,Systems / Management / Information,"systems, management, information, process, business, agent, design, research","COMPUTERS IN INDUSTRY, INTERNATIONAL JOURNAL OF COOPERATIVE INFORMATION SYSTEMS, COMPUTERS & SECURITY, DATA & KNOWLEDGE ENGINEERING, INFORMATION SYSTEMS",360
46,History Philosophy / Philosophy Science / History,"history philosophy, philosophy science, history, philosophy, science history, methods history, science computer, science theory",IEEE ANNALS OF THE HISTORY OF COMPUTING,44
47,Education / Learning / Students,"education, learning, students, educational, research computer, educational research, education educational, applications education","COMPUTERS & EDUCATION, JOURNAL OF UNIVERSAL COMPUTER SCIENCE, JOURNAL OF VISUAL LANGUAGES AND COMPUTING, INTERACTING WITH COMPUTERS, USER MODELING AND USER-ADAPTED INTERACTION",76
48,Services / Web / Service,"services, web, service, web services, web service, composition, service composition, service oriented","INTERNATIONAL JOURNAL OF COOPERATIVE INFORMATION SYSTEMS, DISTRIBUTED AND PARALLEL DATABASES, COMPUTING AND INFORMATICS, COMPUTER SYSTEMS SCIENCE AND ENGINEERING, SOFTWARE-PRACTICE & EXPERIENCE",66
49,Software / Software Engineering / Software Development,"software, software engineering, software development, engineering, development, science software, code, project","INFORMATION AND SOFTWARE TECHNOLOGY, SOFTWARE QUALITY JOURNAL, IEEE TRANSACTIONS ON SOFTWARE ENGINEERING, JOURNAL OF SYSTEMS AND SOFTWARE, ACM TRANSACTIONS ON SOFTWARE ENGINEERING AND METHODOLOGY",153
50,Channel / Wireless / Telecommunications,"channel, wireless, telecommunications, channels, networks, radio, electronic telecommunications, capacity","IEEE TRANSACTIONS ON COMMUNICATIONS, IEEE JOURNAL ON SELECTED AREAS IN COMMUNICATIONS, IEEE COMMUNICATIONS LETTERS, IEEE TRANSACTIONS ON INFORMATION THEORY, IEEE COMMUNICATIONS MAGAZINE",292
51,Stability / Delays / Exponential Stability,"stability, delays, exponential stability, neural networks, exponential, neural, linear matrix, time varying","NEURAL NETWORKS, MULTIDIMENSIONAL SYSTEMS AND SIGNAL PROCESSING, NEURAL PROCESSING LETTERS, INTERNATIONAL JOURNAL OF GENERAL SYSTEMS, NEUROCOMPUTING",55
